Machine_ID,Machine_Status,Queue_Length,Processing_Time,Worker_Available,Shift,Material_Type,Temperature,Previous_Wait_Time,Current_Wait_Time,Next_Machine
0,0,16,7.0,1,1,0,28.0,16.0,12.0,1
3,0,20,7.0,1,1,0,68.0,16.0,4.0,0
0,0,12,14.0,1,1,0,65.0,11.0,9.0,0
2,0,2,4.0,1,0,0,45.0,4.0,16.0,1
3,2,3,10.0,1,2,1,28.0,11.0,6.0,2
0,0,3,12.0,0,0,1,66.0,6.0,9.0,1
2,0,10,3.0,1,0,2,37.0,11.0,19.0,0
0,1,6,12.0,1,2,1,58.0,1.0,19.0,3
1,1,10,11.0,1,2,2,65.0,9.0,13.0,0
2,0,23,3.0,1,2,1,34.0,7.0,5.0,0
2,1,10,3.0,1,2,2,65.0,3.0,9.0,1
2,0,9,3.0,1,1,2,35.0,9.0,3.0,0
3,0,4,9.0,1,0,0,61.0,2.0,21.0,2
3,0,12,6.0,1,0,2,36.0,10.0,4.0,3
3,0,11,14.0,1,0,2,52.0,17.0,9.0,1
1,0,9,9.0,1,2,2,54.0,1.0,13.0,2
1,0,6,7.0,1,0,2,68.0,18.0,3.0,3
2,1,18,14.0,1,1,2,34.0,6.0,18.0,2
1,1,18,9.0,0,0,0,59.0,6.0,15.0,0
0,0,18,12.0,1,0,2,36.0,9.0,15.0,0
2,2,11,9.0,0,1,2,44.0,10.0,7.0,2
2,1,19,6.0,0,1,2,62.0,15.0,9.0,3
0,0,21,4.0,1,0,1,43.0,4.0,11.0,2
2,2,14,10.0,1,2,1,29.0,8.0,19.0,2
1,0,4,4.0,1,2,0,70.0,4.0,2.0,2
3,0,23,11.0,1,0,2,58.0,3.0,8.0,3
0,2,13,7.0,1,0,2,43.0,4.0,8.0,2
1,1,11,11.0,1,0,1,74.0,1.0,14.0,0
0,0,20,11.0,1,0,2,60.0,9.0,17.0,1
0,2,10,10.0,1,2,0,48.0,11.0,13.0,0
2,0,4,10.0,1,0,2,44.0,19.0,20.0,0
2,0,15,6.0,1,1,0,62.0,7.0,7.0,2
1,0,17,6.0,1,2,1,34.0,5.0,8.0,1
0,0,11,4.0,1,2,0,56.0,2.0,18.0,2
2,0,4,6.0,1,1,0,38.0,19.0,20.0,1
2,0,15,6.0,1,0,0,57.0,3.0,6.0,0
0,2,11,8.0,1,0,0,45.0,15.0,4.0,3
1,2,22,5.0,1,0,0,73.0,7.0,23.0,2
1,2,1,4.0,1,0,0,43.0,5.0,19.0,0
0,0,5,10.0,0,0,0,33.0,10.0,18.0,1
1,0,22,4.0,1,1,0,29.0,9.0,22.0,0
2,2,20,10.0,0,0,0,70.0,14.0,12.0,0
0,2,24,9.0,1,1,1,70.0,13.0,10.0,0
2,0,3,5.0,1,1,0,37.0,1.0,18.0,3
3,1,12,8.0,0,1,0,31.0,16.0,20.0,2
3,1,9,8.0,1,0,2,37.0,8.0,14.0,2
1,0,16,12.0,1,0,2,36.0,17.0,7.0,2
3,0,13,7.0,1,2,2,72.0,6.0,22.0,3
2,2,23,10.0,1,2,0,70.0,2.0,5.0,3
3,0,14,13.0,1,1,1,69.0,13.0,19.0,1
2,1,7,14.0,1,2,1,51.0,8.0,13.0,2
1,0,22,7.0,0,1,2,32.0,9.0,5.0,1
1,0,23,9.0,1,2,2,62.0,13.0,6.0,0
2,1,17,8.0,0,0,0,31.0,18.0,13.0,1
3,0,2,13.0,1,0,1,62.0,18.0,19.0,1
1,0,24,9.0,1,1,1,69.0,9.0,18.0,0
0,0,16,11.0,0,1,2,40.0,2.0,24.0,0
1,0,23,5.0,1,0,1,64.0,4.0,24.0,1
3,0,23,12.0,0,0,2,59.0,18.0,11.0,1
0,0,6,9.0,1,0,2,72.0,17.0,7.0,2
3,2,12,12.0,1,2,0,28.0,12.0,18.0,3
2,1,15,5.0,0,2,2,38.0,16.0,9.0,0
0,2,4,4.0,0,2,0,53.0,13.0,3.0,1
3,0,3,14.0,1,2,1,30.0,11.0,13.0,3
0,2,9,9.0,1,1,1,40.0,14.0,4.0,1
3,2,12,6.0,1,1,2,59.0,10.0,21.0,2
0,0,9,3.0,0,2,2,50.0,19.0,22.0,1
3,0,13,8.0,1,1,0,50.0,17.0,24.0,0
2,1,21,13.0,1,2,0,57.0,9.0,8.0,1
0,2,11,8.0,1,2,1,33.0,14.0,2.0,1
0,0,0,8.0,1,0,1,34.0,5.0,18.0,0
0,0,20,4.0,0,2,2,74.0,3.0,9.0,2
0,0,19,3.0,1,1,2,57.0,8.0,11.0,0
2,2,19,5.0,1,2,0,64.0,18.0,18.0,1
0,0,6,14.0,1,0,2,59.0,3.0,17.0,2
1,0,8,4.0,1,1,0,33.0,2.0,11.0,0
2,0,7,8.0,1,0,1,62.0,11.0,16.0,3
1,0,12,14.0,0,2,1,59.0,5.0,17.0,3
0,0,13,8.0,1,2,2,39.0,7.0,19.0,3
3,0,11,7.0,1,2,0,31.0,14.0,5.0,0
1,0,7,12.0,1,2,2,59.0,19.0,8.0,2
0,2,20,12.0,1,1,2,62.0,2.0,13.0,0
1,1,21,7.0,1,2,0,43.0,9.0,24.0,1
0,0,17,11.0,1,0,2,42.0,10.0,13.0,0
0,0,15,7.0,1,1,0,68.0,19.0,24.0,3
0,1,10,12.0,1,1,0,29.0,17.0,22.0,3
3,1,15,8.0,0,1,2,33.0,7.0,2.0,1
1,0,13,13.0,1,0,0,41.0,18.0,22.0,0
2,0,2,6.0,1,0,1,68.0,6.0,13.0,3
2,1,20,12.0,1,0,1,56.0,9.0,24.0,0
2,1,1,3.0,1,0,1,69.0,8.0,8.0,3
2,2,2,6.0,1,2,1,53.0,9.0,16.0,1
0,1,3,4.0,1,2,2,45.0,1.0,3.0,2
1,2,21,12.0,1,0,1,74.0,2.0,2.0,2
1,0,4,5.0,0,0,1,31.0,4.0,5.0,3
3,0,9,9.0,1,2,1,64.0,18.0,9.0,3
1,0,19,9.0,1,2,1,65.0,10.0,18.0,0
1,2,1,3.0,1,0,2,52.0,1.0,19.0,2
1,0,11,10.0,1,1,1,74.0,10.0,24.0,0
3,0,4,9.0,0,1,0,56.0,9.0,6.0,3
2,1,4,3.0,1,0,0,61.0,13.0,7.0,2
1,0,22,10.0,1,1,2,43.0,15.0,13.0,0
3,0,0,4.0,0,2,2,64.0,18.0,17.0,3
3,1,3,10.0,1,1,2,57.0,13.0,10.0,0
0,1,20,5.0,1,0,1,50.0,5.0,16.0,0
3,2,23,12.0,1,1,2,63.0,2.0,9.0,3
2,0,11,9.0,1,1,1,55.0,7.0,13.0,0
1,0,11,8.0,1,1,2,28.0,9.0,15.0,0
3,0,15,7.0,1,2,0,35.0,19.0,18.0,2
2,2,23,13.0,1,2,0,69.0,14.0,15.0,0
3,2,16,12.0,1,2,1,42.0,17.0,21.0,1
3,2,20,13.0,0,0,2,61.0,11.0,6.0,3
3,1,9,4.0,1,1,0,46.0,5.0,14.0,0
3,2,16,4.0,1,2,1,71.0,12.0,7.0,3
3,0,16,14.0,1,2,0,57.0,9.0,15.0,1
2,0,17,3.0,1,1,2,37.0,17.0,7.0,3
1,0,1,11.0,1,0,1,71.0,8.0,4.0,1
1,1,24,13.0,1,1,0,54.0,8.0,17.0,1
1,2,3,10.0,1,0,2,47.0,12.0,13.0,2
1,1,18,10.0,1,1,1,52.0,19.0,15.0,1
2,0,10,3.0,1,2,0,36.0,10.0,3.0,2
0,0,16,7.0,1,2,0,67.0,2.0,19.0,0
0,0,11,14.0,1,2,1,61.0,8.0,8.0,2
2,1,1,8.0,1,0,2,48.0,14.0,6.0,2
2,0,5,4.0,1,1,1,51.0,19.0,13.0,0
3,2,8,12.0,1,0,0,34.0,4.0,18.0,3
3,0,4,7.0,0,2,0,31.0,9.0,13.0,3
3,0,19,8.0,1,0,0,35.0,13.0,22.0,0
1,0,20,11.0,1,0,2,40.0,9.0,12.0,1
3,0,8,12.0,0,0,0,48.0,13.0,2.0,2
0,2,22,3.0,1,1,0,62.0,16.0,10.0,3
1,0,7,12.0,1,0,1,32.0,1.0,9.0,3
3,0,19,5.0,1,0,0,35.0,8.0,15.0,1
1,0,7,14.0,0,0,1,29.0,9.0,5.0,3
0,0,21,11.0,1,2,0,51.0,13.0,12.0,3
3,1,20,3.0,1,2,1,69.0,17.0,18.0,3
0,0,22,3.0,0,1,1,43.0,9.0,9.0,0
0,0,5,3.0,1,2,1,31.0,7.0,22.0,3
0,0,2,9.0,1,1,1,57.0,10.0,2.0,3
3,0,4,7.0,1,2,2,73.0,5.0,19.0,0
2,0,8,8.0,1,1,0,57.0,17.0,6.0,3
3,0,6,10.0,0,1,2,62.0,2.0,9.0,1
0,0,3,4.0,1,1,0,69.0,9.0,9.0,2
3,2,6,4.0,1,2,1,40.0,2.0,10.0,0
0,0,4,5.0,1,0,0,64.0,10.0,19.0,0
2,1,10,5.0,1,2,1,38.0,12.0,8.0,3
1,1,14,5.0,1,0,0,46.0,2.0,11.0,2
2,2,1,6.0,1,2,1,45.0,15.0,22.0,1
2,0,12,5.0,1,0,0,44.0,3.0,17.0,1
1,2,21,4.0,1,2,0,38.0,2.0,4.0,2
3,1,15,11.0,0,1,0,42.0,7.0,11.0,2
1,2,6,8.0,1,1,1,35.0,9.0,9.0,1
3,2,7,5.0,1,1,0,71.0,11.0,19.0,3
3,0,5,11.0,0,0,1,56.0,16.0,5.0,2
0,1,23,6.0,1,0,2,44.0,7.0,13.0,2
0,0,6,6.0,0,1,0,53.0,13.0,22.0,3
1,0,17,10.0,1,0,1,32.0,3.0,6.0,0
2,0,21,9.0,1,1,1,31.0,11.0,5.0,2
1,0,24,9.0,1,2,1,51.0,3.0,20.0,3
3,1,21,12.0,1,0,2,38.0,15.0,20.0,1
0,0,19,9.0,1,0,1,57.0,8.0,6.0,0
1,0,6,12.0,1,2,2,67.0,7.0,16.0,2
1,0,2,13.0,1,0,2,62.0,5.0,13.0,3
0,1,4,7.0,1,0,1,71.0,6.0,14.0,0
0,2,0,9.0,0,0,0,72.0,19.0,7.0,3
0,0,14,6.0,1,2,2,60.0,3.0,18.0,1
3,0,2,10.0,0,1,1,63.0,11.0,21.0,2
0,0,7,11.0,1,1,2,48.0,6.0,11.0,3
2,1,24,14.0,1,2,1,65.0,14.0,15.0,2
1,0,8,5.0,1,2,1,32.0,17.0,16.0,3
0,0,14,9.0,1,2,2,32.0,3.0,11.0,2
0,2,9,14.0,1,1,1,48.0,4.0,7.0,2
3,0,1,12.0,1,2,2,52.0,9.0,17.0,0
3,0,19,11.0,1,1,1,37.0,13.0,3.0,3
1,2,4,3.0,1,2,0,46.0,6.0,11.0,3
2,0,18,4.0,1,0,0,59.0,10.0,6.0,2
1,2,12,9.0,1,1,2,45.0,13.0,10.0,2
0,2,10,4.0,1,1,2,61.0,14.0,20.0,0
2,1,0,9.0,1,2,2,42.0,12.0,20.0,1
2,0,21,3.0,1,0,2,51.0,13.0,10.0,3
2,0,14,5.0,1,1,0,32.0,10.0,17.0,2
2,0,17,7.0,1,2,2,59.0,7.0,20.0,0
1,0,15,14.0,1,0,1,36.0,5.0,21.0,2
3,2,8,13.0,1,1,1,32.0,12.0,5.0,3
3,0,0,8.0,1,2,2,32.0,2.0,6.0,0
0,0,10,11.0,1,0,1,68.0,8.0,19.0,0
3,1,8,11.0,0,1,2,68.0,8.0,9.0,2
3,0,22,5.0,1,1,1,61.0,19.0,14.0,2
3,1,10,10.0,1,0,1,34.0,5.0,10.0,1
3,0,12,6.0,1,2,2,53.0,8.0,11.0,1
0,0,1,9.0,1,2,2,28.0,10.0,5.0,3
1,0,13,8.0,1,0,0,61.0,13.0,20.0,3
2,1,5,10.0,1,1,2,53.0,9.0,5.0,0
3,0,7,8.0,1,0,0,59.0,7.0,14.0,3
1,1,17,6.0,1,0,2,39.0,19.0,24.0,1
3,0,15,4.0,1,0,1,33.0,11.0,18.0,1
3,0,20,9.0,1,1,0,47.0,8.0,12.0,1
2,0,11,13.0,1,0,1,46.0,16.0,3.0,2
2,0,10,13.0,1,0,2,43.0,10.0,6.0,1
2,1,5,6.0,1,1,2,31.0,6.0,14.0,1
3,0,2,11.0,1,1,2,59.0,10.0,23.0,3
3,1,13,11.0,1,0,2,45.0,10.0,4.0,1
3,0,1,9.0,1,2,0,32.0,19.0,20.0,1
2,1,10,7.0,1,0,0,33.0,4.0,24.0,2
0,0,21,5.0,1,1,2,41.0,19.0,20.0,1
1,2,2,5.0,1,1,1,45.0,3.0,17.0,3
0,0,17,11.0,1,1,0,37.0,17.0,17.0,2
3,0,0,11.0,1,2,1,50.0,14.0,4.0,0
3,0,23,14.0,1,1,2,45.0,10.0,24.0,1
0,1,0,13.0,1,2,0,31.0,6.0,10.0,1
3,2,11,6.0,1,1,0,59.0,16.0,20.0,1
1,1,14,13.0,1,1,0,74.0,9.0,2.0,0
3,2,4,3.0,1,0,1,33.0,12.0,15.0,2
1,0,5,12.0,0,2,2,53.0,12.0,12.0,2
0,0,15,7.0,1,0,2,33.0,14.0,19.0,1
0,0,11,10.0,1,2,0,62.0,2.0,21.0,0
3,0,11,12.0,1,1,0,68.0,10.0,8.0,3
1,0,2,6.0,1,1,2,70.0,4.0,7.0,0
3,1,22,12.0,1,2,1,32.0,6.0,13.0,1
2,0,1,12.0,1,0,0,41.0,13.0,3.0,0
2,0,6,6.0,1,2,1,29.0,14.0,14.0,2
2,2,1,14.0,1,2,1,67.0,4.0,21.0,2
2,0,20,11.0,1,2,2,40.0,10.0,2.0,2
3,1,6,11.0,1,1,2,32.0,10.0,24.0,3
2,0,10,9.0,1,2,1,74.0,5.0,16.0,0
1,0,10,12.0,1,1,1,63.0,4.0,21.0,1
0,0,13,10.0,1,0,2,63.0,12.0,9.0,1
0,0,2,14.0,1,1,0,46.0,14.0,19.0,2
2,2,13,14.0,1,0,1,47.0,7.0,16.0,1
2,0,10,6.0,1,0,0,49.0,2.0,9.0,3
2,0,3,10.0,1,0,1,58.0,14.0,3.0,0
3,0,16,8.0,1,1,2,68.0,10.0,12.0,3
0,0,15,5.0,1,2,0,74.0,16.0,9.0,0
2,0,2,9.0,1,1,2,71.0,3.0,14.0,0
1,0,24,5.0,1,0,1,31.0,8.0,2.0,0
2,1,9,13.0,1,2,2,30.0,17.0,19.0,1
0,2,20,9.0,1,1,0,64.0,4.0,6.0,1
2,0,14,7.0,1,0,2,52.0,19.0,2.0,1
0,0,7,6.0,1,0,0,64.0,15.0,13.0,1
2,0,17,5.0,1,2,2,31.0,10.0,6.0,1
1,0,2,10.0,0,1,2,66.0,10.0,22.0,1
2,1,6,6.0,1,2,0,34.0,12.0,17.0,2
1,0,9,10.0,1,2,0,34.0,9.0,24.0,2
1,0,19,12.0,1,2,0,52.0,15.0,19.0,2
2,2,8,5.0,1,2,1,42.0,18.0,3.0,3
1,2,13,12.0,1,1,2,34.0,1.0,16.0,3
3,0,22,11.0,1,2,0,74.0,3.0,23.0,3
2,2,13,8.0,1,0,1,31.0,8.0,12.0,0
2,0,10,7.0,1,0,1,61.0,7.0,11.0,0
1,1,0,7.0,1,0,0,72.0,15.0,4.0,3
1,2,3,5.0,1,2,0,71.0,8.0,14.0,2
2,0,5,4.0,1,0,0,69.0,15.0,14.0,1
3,0,21,8.0,1,1,1,46.0,5.0,4.0,1
1,0,21,13.0,1,2,1,74.0,12.0,11.0,1
1,0,4,3.0,1,2,2,65.0,12.0,5.0,0
0,2,2,9.0,1,2,1,54.0,9.0,15.0,3
3,1,1,7.0,1,1,0,32.0,9.0,24.0,2
3,0,2,6.0,1,2,2,40.0,15.0,18.0,1
2,0,8,11.0,1,2,2,73.0,15.0,2.0,3
3,0,18,12.0,1,0,2,41.0,12.0,16.0,3
2,0,18,3.0,1,0,2,57.0,5.0,23.0,0
0,1,16,13.0,1,2,0,74.0,1.0,22.0,0
3,1,17,6.0,1,1,2,37.0,19.0,3.0,0
1,0,10,5.0,1,0,0,59.0,11.0,19.0,0
0,2,11,8.0,1,2,1,28.0,18.0,8.0,3
2,1,2,7.0,0,0,0,51.0,6.0,23.0,0
0,0,17,9.0,0,0,2,56.0,17.0,14.0,1
2,0,23,3.0,1,1,1,70.0,14.0,4.0,2
0,2,5,7.0,1,2,1,34.0,12.0,4.0,0
2,2,6,4.0,1,0,1,58.0,5.0,14.0,1
3,0,0,4.0,1,2,2,44.0,7.0,22.0,2
1,0,5,13.0,1,1,0,57.0,16.0,5.0,0
2,0,17,13.0,1,1,0,52.0,9.0,17.0,0
0,0,12,4.0,1,0,2,55.0,15.0,9.0,2
2,0,21,11.0,0,1,2,63.0,4.0,23.0,1
2,0,18,12.0,1,0,1,34.0,7.0,9.0,1
2,2,6,5.0,1,2,0,62.0,14.0,17.0,3
0,1,18,6.0,0,0,2,47.0,4.0,24.0,3
1,2,8,7.0,1,0,2,41.0,4.0,3.0,0
3,0,2,6.0,0,1,0,57.0,14.0,10.0,1
1,0,22,6.0,1,2,1,28.0,7.0,14.0,1
2,0,11,7.0,0,2,1,65.0,15.0,23.0,0
0,0,19,12.0,1,0,1,68.0,12.0,23.0,2
1,0,23,11.0,1,2,0,52.0,14.0,13.0,2
2,2,17,14.0,1,2,2,61.0,13.0,3.0,3
3,2,7,11.0,0,0,2,35.0,19.0,10.0,0
3,2,8,8.0,1,0,2,47.0,12.0,2.0,2
3,1,12,13.0,1,2,2,57.0,16.0,7.0,0
2,2,7,14.0,1,0,0,31.0,16.0,3.0,1
0,0,21,5.0,0,1,1,48.0,1.0,4.0,2
1,1,9,8.0,1,2,1,54.0,15.0,16.0,2
3,1,16,12.0,1,0,1,37.0,5.0,8.0,2
2,1,6,6.0,1,2,1,50.0,6.0,14.0,1
2,1,16,5.0,1,2,2,60.0,17.0,17.0,3
1,0,22,8.0,1,1,2,38.0,11.0,14.0,0
3,2,17,13.0,1,1,0,68.0,4.0,13.0,2
2,0,23,8.0,1,2,1,46.0,18.0,18.0,1
1,0,1,4.0,1,1,2,38.0,14.0,22.0,2
0,2,2,11.0,0,0,2,31.0,9.0,12.0,0
0,0,18,10.0,1,2,2,50.0,3.0,23.0,0
0,2,0,8.0,1,1,1,32.0,3.0,8.0,2
3,0,20,3.0,1,2,2,32.0,11.0,14.0,1
1,0,20,14.0,1,2,1,45.0,5.0,11.0,2
1,0,9,4.0,0,0,1,44.0,4.0,11.0,1
2,0,20,6.0,1,0,0,30.0,12.0,14.0,3
2,1,13,9.0,1,0,0,70.0,12.0,24.0,2
2,0,12,11.0,1,1,1,35.0,4.0,20.0,1
1,0,8,12.0,1,1,1,67.0,3.0,24.0,2
2,2,5,7.0,1,1,1,50.0,2.0,18.0,0
1,0,5,12.0,0,0,2,50.0,4.0,21.0,0
1,1,18,4.0,0,2,2,29.0,4.0,8.0,2
0,0,20,13.0,1,0,2,66.0,7.0,24.0,2
2,1,9,13.0,1,1,0,48.0,2.0,5.0,1
0,0,22,13.0,1,1,1,51.0,11.0,18.0,1
3,2,2,3.0,1,1,2,65.0,5.0,5.0,0
3,0,17,12.0,1,0,2,47.0,13.0,19.0,1
3,1,20,3.0,1,1,0,66.0,4.0,21.0,0
1,0,18,7.0,1,0,0,54.0,9.0,9.0,3
1,0,4,9.0,1,2,1,71.0,7.0,9.0,2
1,2,24,11.0,1,0,1,66.0,13.0,22.0,1
2,1,10,11.0,1,1,2,34.0,10.0,17.0,0
0,0,9,10.0,1,2,2,60.0,7.0,16.0,0
1,0,16,3.0,1,1,2,56.0,18.0,19.0,2
0,1,3,7.0,1,2,2,37.0,18.0,24.0,2
0,0,20,8.0,1,1,2,37.0,2.0,20.0,2
0,0,17,8.0,1,0,0,39.0,1.0,7.0,1
2,2,17,6.0,0,1,1,30.0,13.0,10.0,3
2,2,0,3.0,1,0,0,30.0,2.0,17.0,3
3,0,13,5.0,1,0,1,40.0,4.0,22.0,3
3,0,7,12.0,1,2,1,72.0,9.0,10.0,3
0,0,1,6.0,1,0,1,58.0,8.0,21.0,0
3,2,18,6.0,0,0,0,54.0,18.0,18.0,1
0,2,14,6.0,1,0,2,33.0,16.0,5.0,3
2,2,1,7.0,1,2,1,54.0,4.0,16.0,3
2,0,3,13.0,1,1,1,62.0,4.0,12.0,1
2,0,0,11.0,1,1,0,74.0,18.0,15.0,1
1,2,18,6.0,1,0,0,36.0,2.0,18.0,2
0,0,20,11.0,0,0,2,33.0,11.0,14.0,2
2,0,9,11.0,1,1,2,33.0,4.0,10.0,3
0,0,0,3.0,1,0,1,67.0,14.0,17.0,0
3,1,19,7.0,1,1,0,53.0,17.0,9.0,2
3,1,21,11.0,0,2,2,70.0,8.0,15.0,1
2,0,14,6.0,1,0,2,46.0,1.0,16.0,2
0,0,3,7.0,1,0,2,43.0,19.0,8.0,2
2,2,6,6.0,1,1,0,68.0,19.0,12.0,1
3,1,6,4.0,1,1,0,50.0,7.0,4.0,3
2,1,21,12.0,1,2,0,38.0,1.0,8.0,2
0,1,24,4.0,0,0,0,43.0,1.0,23.0,2
3,1,17,4.0,1,1,0,56.0,10.0,6.0,3
1,1,12,3.0,1,2,1,65.0,13.0,10.0,2
3,0,9,5.0,0,1,1,47.0,5.0,21.0,0
1,0,23,13.0,1,1,0,48.0,12.0,20.0,3
2,0,7,12.0,1,2,1,55.0,3.0,14.0,0
2,2,9,3.0,1,2,0,60.0,19.0,20.0,1
0,0,13,6.0,0,2,1,67.0,4.0,17.0,0
1,1,13,3.0,1,2,1,53.0,15.0,3.0,1
2,1,19,6.0,1,2,2,37.0,13.0,2.0,3
1,2,21,5.0,1,2,0,61.0,11.0,4.0,1
2,0,10,11.0,1,0,1,36.0,2.0,13.0,1
3,2,5,3.0,1,2,1,63.0,9.0,7.0,1
2,2,20,10.0,0,0,2,38.0,12.0,3.0,1
0,2,0,13.0,1,1,1,37.0,4.0,17.0,0
3,2,18,11.0,1,1,2,73.0,19.0,6.0,1
0,0,6,14.0,1,2,1,34.0,10.0,13.0,1
3,0,23,9.0,1,1,2,65.0,11.0,5.0,2
1,2,17,3.0,1,2,2,43.0,7.0,15.0,2
0,0,2,6.0,1,2,0,53.0,13.0,18.0,2
2,1,19,12.0,1,0,0,59.0,9.0,13.0,1
1,0,10,3.0,0,1,1,58.0,12.0,14.0,2
2,0,4,6.0,0,2,0,59.0,2.0,18.0,0
3,2,18,5.0,1,1,0,72.0,1.0,21.0,3
3,0,20,4.0,1,0,0,39.0,7.0,16.0,3
2,0,23,3.0,1,1,1,54.0,1.0,10.0,3
