Product_ID,Machine_ID,Machine_Status,Queue_Length,Processing_Time,Worker_Available,Shift,Material_Type,Temperature,Previous_Wait_Time,Current_Wait_Time,Next_Machine,Recommended_Machine,Expected_Waiting_Time,Worker_Status,Machine_Load,Shift_Code,Queue_Category,Temperature_Level,Bottleneck_Flag,Delay_Level
P0437,Assembly_M4,Idle,2,29,No,Morning,Bearing_Stainless,48,14,11,Packaging_Line,Assembly_M4,25,0,0,0,Low,Normal,0,High
P0015,Assembly_M4,Overloaded,3,24,No,Night,Bearing_Steel_Chrome,25,9,50,Packaging_Line,Grinding_M2,16,0,3,2,Low,Normal,0,Medium
P0319,Lathe_M1,Maintenance,13,16,Yes,Morning,Ceramic_Hybrid,75,24,19,Packaging_Line,Grinding_M2,28,1,2,0,Medium,Hot,0,High
P0444,Assembly_M4,Idle,1,6,Yes,Evening,Bearing_Stainless,56,24,26,Assembly_M4,Grinding_M2,19,1,0,,Low,Warm,0,Medium
P0233,Polishing_M3,Overloaded,24,26,No,Evening,Bearing_Stainless,82,27,26,Assembly_M4,Lathe_M1,17,0,3,,High,Hot,1,Medium
P0241,Lathe_M1,Busy,19,10,No,Morning,Ceramic_Hybrid,39,23,47,Grinding_M2,Lathe_M1,28,0,1,0,High,Normal,1,High
P0387,Lathe_M1,Idle,4,37,Yes,Morning,Ceramic_Hybrid,32,22,48,Polishing_M3,Grinding_M2,12,1,0,0,Low,Normal,0,Medium
P0065,Assembly_M4,Busy,4,43,Yes,Evening,Ceramic_Hybrid,28,7,49,Assembly_M4,Polishing_M3,20,1,1,,Low,Normal,0,High
P0086,Lathe_M1,Idle,14,39,No,Morning,Ceramic_Hybrid,79,9,56,Grinding_M2,Polishing_M3,16,0,0,0,Medium,Hot,0,Medium
P0295,Assembly_M4,Maintenance,12,34,Yes,Morning,Ceramic_Hybrid,43,18,23,Polishing_M3,Lathe_M1,28,1,2,0,Medium,Normal,0,High
P0357,Polishing_M3,Busy,22,30,Yes,Evening,Ceramic_Hybrid,61,27,57,Packaging_Line,Polishing_M3,23,1,1,,High,Warm,1,High
P0036,Polishing_M3,Busy,8,16,No,Evening,Bearing_Steel_Chrome,77,2,5,Packaging_Line,Polishing_M3,15,0,1,,Medium,Hot,0,Medium
P0326,Assembly_M4,Idle,1,36,No,Morning,Ceramic_Hybrid,78,17,29,Assembly_M4,Assembly_M4,8,0,0,0,Low,Hot,0,Low
P0239,Assembly_M4,Overloaded,12,5,No,Morning,Bearing_Steel_Chrome,40,8,9,Assembly_M4,Assembly_M4,22,0,3,0,Medium,Normal,0,High
P0125,Assembly_M4,Maintenance,22,7,No,Morning,Bearing_Stainless,36,27,20,Assembly_M4,Grinding_M2,19,0,2,0,High,Normal,1,Medium
P0250,Grinding_M2,Overloaded,4,26,No,Evening,Bearing_Stainless,81,15,32,Assembly_M4,Lathe_M1,5,0,3,,Low,Hot,0,Low
P0265,Grinding_M2,Busy,14,34,Yes,Night,Bearing_Stainless,70,21,9,Packaging_Line,Grinding_M2,12,1,1,2,Medium,Hot,0,Medium
P0354,Assembly_M4,Maintenance,15,30,No,Morning,Bearing_Steel_Chrome,50,17,25,Assembly_M4,Grinding_M2,7,0,2,0,High,Warm,1,Low
P0208,Grinding_M2,Overloaded,3,37,No,Evening,Ceramic_Hybrid,54,6,27,Assembly_M4,Assembly_M4,26,0,3,,Low,Warm,0,High
P0382,Polishing_M3,Overloaded,9,9,No,Evening,Bearing_Stainless,60,3,56,Assembly_M4,Grinding_M2,10,0,3,,Medium,Warm,0,Medium
P0062,Grinding_M2,Overloaded,18,36,Yes,Night,Ceramic_Hybrid,25,25,9,Polishing_M3,Grinding_M2,13,1,3,2,High,Normal,1,Medium
P0111,Assembly_M4,Overloaded,3,20,No,Morning,Bearing_Steel_Chrome,48,17,59,Assembly_M4,Grinding_M2,2,0,3,0,Low,Normal,0,Low
P0185,Grinding_M2,Overloaded,16,32,Yes,Night,Ceramic_Hybrid,56,28,24,Polishing_M3,Polishing_M3,24,1,3,2,High,Warm,1,High
P0024,Lathe_M1,Overloaded,11,39,Yes,Night,Bearing_Stainless,84,2,37,Grinding_M2,Lathe_M1,29,1,3,2,Medium,Hot,0,High
P0294,Polishing_M3,Maintenance,18,41,No,Evening,Bearing_Stainless,36,4,5,Polishing_M3,Lathe_M1,1,0,2,,High,Normal,1,Low
P0130,Assembly_M4,Busy,7,14,Yes,Evening,Bearing_Stainless,67,13,33,Grinding_M2,Lathe_M1,13,1,1,,Medium,Warm,0,Medium
P0078,Grinding_M2,Overloaded,11,35,Yes,Morning,Bearing_Steel_Chrome,70,3,55,Packaging_Line,Grinding_M2,18,1,3,0,Medium,Hot,0,Medium
P0398,Assembly_M4,Maintenance,2,27,No,Evening,Ceramic_Hybrid,41,27,12,Packaging_Line,Polishing_M3,29,0,2,,Low,Normal,0,High
P0292,Lathe_M1,Busy,9,30,Yes,Night,Bearing_Steel_Chrome,58,20,45,Assembly_M4,Lathe_M1,7,1,1,2,Medium,Warm,0,Low
P0081,Grinding_M2,Idle,3,15,Yes,Morning,Bearing_Steel_Chrome,53,25,40,Packaging_Line,Assembly_M4,25,1,0,0,Low,Warm,0,High
P0353,Assembly_M4,Overloaded,20,40,Yes,Morning,Bearing_Stainless,34,6,13,Assembly_M4,Assembly_M4,24,1,3,0,High,Normal,1,High
P0037,Grinding_M2,Overloaded,2,39,Yes,Evening,Bearing_Steel_Chrome,72,5,22,Polishing_M3,Grinding_M2,17,1,3,,Low,Hot,0,Medium
P0466,Polishing_M3,Idle,6,36,Yes,Morning,Bearing_Steel_Chrome,48,24,36,Assembly_M4,Polishing_M3,5,1,0,0,Medium,Normal,0,Low
P0225,Lathe_M1,Maintenance,11,17,No,Night,Bearing_Stainless,47,26,39,Assembly_M4,Assembly_M4,9,0,2,2,Medium,Normal,0,Low
P0225,Lathe_M1,Busy,16,24,No,Night,Bearing_Stainless,72,26,26,Assembly_M4,Lathe_M1,13,0,1,2,High,Hot,1,Medium
P0047,Grinding_M2,Busy,18,40,No,Night,Bearing_Steel_Chrome,36,10,23,Polishing_M3,Assembly_M4,12,0,1,2,High,Normal,1,Medium
P0266,Assembly_M4,Overloaded,8,11,Yes,Night,Bearing_Stainless,52,15,35,Packaging_Line,Lathe_M1,20,1,3,2,Medium,Warm,0,High
P0241,Polishing_M3,Maintenance,18,20,No,Evening,Ceramic_Hybrid,77,6,39,Grinding_M2,Grinding_M2,12,0,2,,High,Hot,1,Medium
P0169,Assembly_M4,Maintenance,24,25,No,Night,Bearing_Stainless,60,22,27,Grinding_M2,Assembly_M4,16,0,2,2,High,Warm,1,Medium
P0046,Polishing_M3,Overloaded,24,43,No,Morning,Bearing_Stainless,69,22,46,Grinding_M2,Assembly_M4,26,0,3,0,High,Warm,1,High
P0212,Lathe_M1,Idle,6,18,No,Night,Bearing_Stainless,55,27,9,Packaging_Line,Lathe_M1,3,0,0,2,Medium,Warm,0,Low
P0105,Polishing_M3,Idle,22,33,No,Evening,Ceramic_Hybrid,67,12,22,Packaging_Line,Lathe_M1,15,0,0,,High,Warm,1,Medium
P0015,Grinding_M2,Idle,11,13,No,Night,Bearing_Steel_Chrome,34,27,48,Packaging_Line,Lathe_M1,17,0,0,2,Medium,Normal,0,Medium
P0116,Lathe_M1,Maintenance,5,11,Yes,Night,Bearing_Steel_Chrome,70,14,44,Packaging_Line,Polishing_M3,10,1,2,2,Medium,Hot,0,Medium
P0261,Polishing_M3,Maintenance,8,31,No,Evening,Bearing_Steel_Chrome,82,3,9,Packaging_Line,Grinding_M2,29,0,2,,Medium,Hot,0,High
P0197,Grinding_M2,Idle,4,42,Yes,Evening,Bearing_Stainless,43,9,52,Assembly_M4,Polishing_M3,13,1,0,,Low,Normal,0,Medium
P0421,Lathe_M1,Overloaded,0,26,No,Night,Ceramic_Hybrid,76,18,11,Packaging_Line,Grinding_M2,25,0,3,2,Low,Hot,0,High
P0229,Assembly_M4,Overloaded,12,8,No,Night,Ceramic_Hybrid,60,7,35,Packaging_Line,Assembly_M4,19,0,3,2,Medium,Warm,0,Medium
P0478,Polishing_M3,Idle,11,43,Yes,Night,Bearing_Stainless,51,11,30,Polishing_M3,Assembly_M4,19,1,0,2,Medium,Warm,0,Medium
P0023,Polishing_M3,Maintenance,6,7,No,Evening,Ceramic_Hybrid,69,14,54,Polishing_M3,Assembly_M4,28,0,2,,Medium,Warm,0,High
P0494,Lathe_M1,Idle,19,32,No,Morning,Bearing_Stainless,32,10,43,Grinding_M2,Assembly_M4,1,0,0,0,High,Normal,1,Low
P0008,Grinding_M2,Maintenance,2,17,Yes,Morning,Bearing_Stainless,52,26,53,Assembly_M4,Polishing_M3,25,1,2,0,Low,Warm,0,High
P0320,Assembly_M4,Busy,23,37,No,Night,Ceramic_Hybrid,62,22,10,Packaging_Line,Polishing_M3,26,0,1,2,High,Warm,1,High
P0321,Assembly_M4,Busy,11,36,Yes,Morning,Ceramic_Hybrid,69,16,25,Assembly_M4,Grinding_M2,16,1,1,0,Medium,Warm,0,Medium
P0383,Lathe_M1,Maintenance,21,25,Yes,Night,Ceramic_Hybrid,35,29,41,Grinding_M2,Assembly_M4,4,1,2,2,High,Normal,1,Low
P0086,Polishing_M3,Busy,2,23,Yes,Evening,Bearing_Steel_Chrome,44,26,22,Assembly_M4,Polishing_M3,15,1,1,,Low,Normal,0,Medium
P0192,Assembly_M4,Idle,8,18,Yes,Night,Bearing_Stainless,39,2,57,Polishing_M3,Grinding_M2,22,1,0,2,Medium,Normal,0,High
P0090,Lathe_M1,Maintenance,21,7,Yes,Evening,Ceramic_Hybrid,40,24,15,Polishing_M3,Grinding_M2,12,1,2,,High,Normal,1,Medium
P0237,Polishing_M3,Maintenance,9,36,No,Night,Bearing_Steel_Chrome,40,9,42,Packaging_Line,Polishing_M3,12,0,2,2,Medium,Normal,0,Medium
P0347,Grinding_M2,Busy,23,32,No,Evening,Ceramic_Hybrid,77,9,32,Assembly_M4,Assembly_M4,4,0,1,,High,Hot,1,Low
P0354,Polishing_M3,Maintenance,7,32,No,Morning,Bearing_Stainless,52,6,45,Packaging_Line,Lathe_M1,4,0,2,0,Medium,Warm,0,Low
P0122,Assembly_M4,Overloaded,21,21,No,Night,Bearing_Stainless,33,2,57,Grinding_M2,Assembly_M4,20,0,3,2,High,Normal,1,High
P0141,Lathe_M1,Busy,12,32,No,Evening,Bearing_Steel_Chrome,72,14,50,Assembly_M4,Grinding_M2,3,0,1,,Medium,Hot,0,Low
P0326,Grinding_M2,Overloaded,5,22,Yes,Night,Bearing_Steel_Chrome,75,6,51,Grinding_M2,Polishing_M3,25,1,3,2,Medium,Hot,0,High
P0404,Assembly_M4,Busy,1,14,No,Night,Bearing_Steel_Chrome,80,19,49,Grinding_M2,Polishing_M3,5,0,1,2,Low,Hot,0,Low
P0168,Assembly_M4,Idle,22,37,Yes,Morning,Ceramic_Hybrid,78,2,22,Assembly_M4,Polishing_M3,15,1,0,0,High,Hot,1,Medium
P0426,Grinding_M2,Overloaded,16,15,No,Evening,Ceramic_Hybrid,45,27,29,Assembly_M4,Lathe_M1,22,0,3,,High,Normal,1,High
P0240,Lathe_M1,Idle,16,17,Yes,Night,Ceramic_Hybrid,57,3,45,Packaging_Line,Polishing_M3,3,1,0,2,High,Warm,1,Low
P0047,Assembly_M4,Busy,0,25,No,Night,Bearing_Steel_Chrome,72,24,10,Packaging_Line,Polishing_M3,28,0,1,2,Low,Hot,0,High
P0345,Polishing_M3,Maintenance,16,9,No,Morning,Ceramic_Hybrid,55,6,42,Polishing_M3,Assembly_M4,3,0,2,0,High,Warm,1,Low
P0013,Polishing_M3,Idle,20,27,Yes,Night,Bearing_Stainless,61,22,41,Assembly_M4,Assembly_M4,10,1,0,2,High,Warm,1,Medium
P0060,Grinding_M2,Busy,9,23,Yes,Evening,Bearing_Stainless,41,22,18,Grinding_M2,Lathe_M1,9,1,1,,Medium,Normal,0,Low
P0121,Grinding_M2,Maintenance,13,5,No,Evening,Ceramic_Hybrid,75,14,17,Packaging_Line,Grinding_M2,4,0,2,,Medium,Hot,0,Low
P0454,Assembly_M4,Busy,0,44,No,Night,Bearing_Stainless,56,3,32,Assembly_M4,Lathe_M1,8,0,1,2,Low,Warm,0,Low
P0354,Polishing_M3,Idle,6,30,No,Evening,Bearing_Steel_Chrome,82,3,58,Assembly_M4,Lathe_M1,22,0,0,,Medium,Hot,0,High
P0352,Polishing_M3,Overloaded,2,16,Yes,Evening,Bearing_Stainless,25,23,48,Polishing_M3,Lathe_M1,5,1,3,,Low,Normal,0,Low
P0486,Assembly_M4,Busy,24,21,Yes,Night,Ceramic_Hybrid,72,16,27,Grinding_M2,Lathe_M1,15,1,1,2,High,Hot,1,Medium
P0403,Polishing_M3,Idle,4,25,Yes,Night,Bearing_Steel_Chrome,38,3,15,Grinding_M2,Grinding_M2,19,1,0,2,Low,Normal,0,Medium
P0301,Grinding_M2,Idle,6,42,No,Morning,Ceramic_Hybrid,84,3,42,Grinding_M2,Polishing_M3,18,0,0,0,Medium,Hot,0,Medium
P0440,Grinding_M2,Idle,1,22,No,Morning,Bearing_Steel_Chrome,54,16,31,Grinding_M2,Grinding_M2,19,0,0,0,Low,Warm,0,Medium
P0008,Polishing_M3,Idle,1,42,No,Morning,Bearing_Steel_Chrome,57,25,19,Assembly_M4,Lathe_M1,28,0,0,0,Low,Warm,0,High
P0065,Assembly_M4,Busy,22,21,Yes,Evening,Bearing_Stainless,29,5,14,Assembly_M4,Lathe_M1,24,1,1,,High,Normal,1,High
P0232,Grinding_M2,Busy,16,14,No,Evening,Ceramic_Hybrid,41,29,24,Grinding_M2,Lathe_M1,24,0,1,,High,Normal,1,High
P0246,Assembly_M4,Maintenance,4,38,Yes,Evening,Ceramic_Hybrid,30,22,6,Packaging_Line,Lathe_M1,13,1,2,,Low,Normal,0,Medium
P0461,Lathe_M1,Overloaded,10,15,Yes,Morning,Bearing_Steel_Chrome,75,16,27,Assembly_M4,Polishing_M3,23,1,3,0,Medium,Hot,0,High
P0196,Polishing_M3,Maintenance,15,35,No,Morning,Ceramic_Hybrid,35,23,20,Grinding_M2,Grinding_M2,8,0,2,0,High,Normal,1,Low
P0221,Assembly_M4,Idle,3,44,No,Evening,Bearing_Stainless,28,25,29,Packaging_Line,Assembly_M4,3,0,0,,Low,Normal,0,Low
P0374,Lathe_M1,Overloaded,2,31,No,Evening,Ceramic_Hybrid,53,19,55,Assembly_M4,Polishing_M3,19,0,3,,Low,Warm,0,Medium
P0489,Grinding_M2,Maintenance,20,9,Yes,Morning,Bearing_Steel_Chrome,42,29,46,Grinding_M2,Assembly_M4,29,1,2,0,High,Normal,1,High
P0050,Polishing_M3,Idle,21,25,Yes,Night,Ceramic_Hybrid,30,2,9,Assembly_M4,Lathe_M1,9,1,0,2,High,Normal,1,Low
P0211,Polishing_M3,Maintenance,11,30,Yes,Evening,Ceramic_Hybrid,70,3,53,Assembly_M4,Polishing_M3,14,1,2,,Medium,Hot,0,Medium
P0054,Grinding_M2,Idle,12,31,No,Morning,Bearing_Steel_Chrome,33,27,51,Assembly_M4,Polishing_M3,25,0,0,0,Medium,Normal,0,High
P0059,Polishing_M3,Idle,21,34,No,Night,Ceramic_Hybrid,67,17,21,Grinding_M2,Polishing_M3,26,0,0,2,High,Warm,1,High
P0015,Grinding_M2,Overloaded,3,5,No,Evening,Bearing_Stainless,32,18,39,Grinding_M2,Grinding_M2,29,0,3,,Low,Normal,0,High
P0446,Grinding_M2,Maintenance,19,19,Yes,Morning,Ceramic_Hybrid,71,25,26,Grinding_M2,Lathe_M1,14,1,2,0,High,Hot,1,Medium
P0383,Grinding_M2,Maintenance,22,18,No,Evening,Bearing_Stainless,48,3,49,Polishing_M3,Polishing_M3,26,0,2,,High,Normal,1,High
P0160,Polishing_M3,Busy,13,11,Yes,Morning,Bearing_Steel_Chrome,27,16,27,Grinding_M2,Lathe_M1,14,1,1,0,Medium,Normal,0,Medium
P0140,Assembly_M4,Maintenance,10,22,No,Night,Bearing_Stainless,82,7,39,Packaging_Line,Polishing_M3,19,0,2,2,Medium,Hot,0,Medium
