Timestamp,Machine_ID,Process_Name,Temperature_C,Vibration_mm_s,Speed_RPM,Output_Units,Defects,Status
2026-08-18 09:26:03,M6,Packaging,45.74,0.55,846,1,0,RUNNING
2026-08-18 09:26:06,M5,Quality Inspection,47.52,0.53,510,1,0,RUNNING
2026-08-18 09:26:08,M2,Heat Treatment,95.3,6.28,0,1,3,WARNING
2026-08-18 09:26:10,M5,Quality Inspection,47.89,0.32,500,1,0,RUNNING
2026-08-18 09:26:12,M5,Quality Inspection,45.34,0.63,497,1,0,RUNNING
2026-08-18 09:26:14,M5,Quality Inspection,47.95,0.54,485,1,0,RUNNING
2026-08-18 09:26:16,M3,Grinding & Honing,59.01,1.42,948,1,0,RUNNING
2026-08-18 09:26:18,M6,Packaging,44.34,0.2,830,1,0,RUNNING
2026-08-18 09:26:20,M1,Turning,44.74,0.99,1201,1,0,RUNNING
2026-08-18 09:26:22,M5,Quality Inspection,47.76,0.57,520,1,0,RUNNING
2026-08-18 09:26:24,M3,Grinding & Honing,59.91,1.46,969,1,0,RUNNING
2026-08-18 09:26:27,M1,Turning,58.32,6.4,923,1,2,WARNING
2026-08-18 09:26:29,M6,Packaging,46.24,0.19,869,1,0,RUNNING
2026-08-18 09:26:31,M5,Quality Inspection,46.51,0.46,519,1,0,RUNNING
2026-08-18 09:26:33,M1,Turning,44.41,0.74,1210,1,0,RUNNING
2026-08-18 09:26:35,M4,Assembly,81.69,3.8,302,1,2,WARNING
2026-08-18 09:26:37,M6,Packaging,46.11,0.47,851,1,0,RUNNING
2026-08-18 09:26:39,M3,Grinding & Honing,59.18,1.53,947,1,0,RUNNING
2026-08-18 09:26:41,M3,Grinding & Honing,56.75,1.65,948,1,0,RUNNING
2026-08-18 09:26:44,M4,Assembly,82.99,5.85,421,1,3,WARNING
2026-08-18 09:26:46,M5,Quality Inspection,44.6,0.35,502,1,0,RUNNING
2026-08-18 09:26:48,M5,Quality Inspection,47.81,0.63,499,1,0,RUNNING
2026-08-18 09:26:50,M2,Heat Treatment,74.06,0.58,0,1,0,RUNNING
2026-08-18 09:26:52,M2,Heat Treatment,74.37,0.37,0,1,0,RUNNING
2026-08-18 09:26:54,M5,Quality Inspection,60.42,3.86,267,1,3,WARNING
2026-08-18 09:26:57,M1,Turning,42.09,1.13,1217,1,0,RUNNING
2026-08-18 09:26:59,M2,Heat Treatment,71.33,0.47,0,1,0,RUNNING
2026-08-18 09:27:01,M2,Heat Treatment,70.5,0.44,0,1,0,RUNNING
2026-08-18 09:27:03,M1,Turning,41.2,1.0,1189,1,0,RUNNING
2026-08-18 09:27:05,M2,Heat Treatment,71.57,0.53,0,1,0,RUNNING
2026-08-18 09:27:07,M6,Packaging,44.89,0.56,860,1,0,RUNNING
2026-08-18 09:27:09,M3,Grinding & Honing,56.79,1.71,935,1,0,RUNNING
2026-08-18 09:27:11,M1,Turning,40.67,0.95,1208,1,0,RUNNING
2026-08-18 09:27:14,M3,Grinding & Honing,58.47,1.52,947,1,0,RUNNING
2026-08-18 09:27:16,M6,Packaging,47.87,0.45,864,1,0,RUNNING
2026-08-18 09:27:18,M4,Assembly,61.71,0.81,681,1,0,RUNNING
2026-08-18 09:27:20,M1,Turning,41.56,0.96,1207,1,0,RUNNING
2026-08-18 09:27:22,M6,Packaging,47.74,0.44,863,1,0,RUNNING
2026-08-18 09:27:24,M5,Quality Inspection,67.18,5.74,160,1,3,WARNING
2026-08-18 09:27:26,M4,Assembly,60.98,0.35,694,1,0,RUNNING
2026-08-18 09:27:29,M2,Heat Treatment,70.75,0.5,0,1,0,RUNNING
2026-08-18 09:27:31,M6,Packaging,43.4,0.53,837,1,0,RUNNING
2026-08-18 09:27:33,M4,Assembly,60.73,0.58,690,1,0,RUNNING
2026-08-18 09:27:35,M6,Packaging,46.44,0.37,848,1,0,RUNNING
2026-08-18 09:27:37,M2,Heat Treatment,70.99,0.47,0,1,0,RUNNING
2026-08-18 09:27:39,M5,Quality Inspection,46.53,0.17,509,1,0,RUNNING
2026-08-18 09:27:41,M6,Packaging,43.99,0.47,846,1,0,RUNNING
2026-08-18 09:27:44,M3,Grinding & Honing,79.53,6.03,568,1,2,WARNING
2026-08-18 09:27:46,M2,Heat Treatment,74.62,0.65,0,1,0,RUNNING
2026-08-18 09:27:48,M5,Quality Inspection,45.54,0.17,510,1,0,RUNNING
2026-08-18 09:27:50,M3,Grinding & Honing,56.33,1.46,940,1,0,RUNNING
2026-08-18 09:27:52,M3,Grinding & Honing,74.86,6.86,742,1,3,WARNING
2026-08-18 09:27:55,M3,Grinding & Honing,60.03,1.76,931,1,0,RUNNING
2026-08-18 09:27:57,M2,Heat Treatment,71.81,0.54,0,1,0,RUNNING
2026-08-18 09:27:59,M4,Assembly,63.95,0.47,709,1,0,RUNNING
2026-08-18 09:28:01,M2,Heat Treatment,70.19,0.32,0,1,0,RUNNING
2026-08-18 09:28:03,M1,Turning,66.98,5.87,932,1,1,WARNING
2026-08-18 09:28:05,M6,Packaging,43.25,0.55,844,1,0,RUNNING
2026-08-18 09:28:08,M3,Grinding & Honing,57.37,1.4,964,1,0,RUNNING
2026-08-18 09:28:10,M1,Turning,40.32,0.79,1195,1,0,RUNNING
2026-08-18 09:28:12,M2,Heat Treatment,94.66,3.75,0,1,4,WARNING
2026-08-18 09:28:14,M1,Turning,43.61,1.09,1192,1,0,RUNNING
2026-08-18 09:28:16,M4,Assembly,61.65,0.61,717,1,0,RUNNING
2026-08-18 09:28:18,M3,Grinding & Honing,60.28,1.35,963,1,0,RUNNING
2026-08-18 09:28:21,M5,Quality Inspection,46.7,0.57,513,1,0,RUNNING
2026-08-18 09:28:23,M6,Packaging,68.07,4.61,478,1,4,WARNING
2026-08-18 09:28:25,M4,Assembly,62.98,0.43,681,1,0,RUNNING
2026-08-18 09:28:27,M5,Quality Inspection,63.54,5.89,276,1,2,WARNING
2026-08-18 09:28:29,M1,Turning,43.9,0.96,1189,1,0,RUNNING
2026-08-18 09:28:31,M5,Quality Inspection,62.91,6.02,145,1,1,WARNING
2026-08-18 09:28:34,M3,Grinding & Honing,60.05,1.52,950,1,0,RUNNING
2026-08-18 09:28:36,M5,Quality Inspection,61.32,6.05,163,1,2,WARNING
2026-08-18 09:28:38,M4,Assembly,62.31,0.68,685,1,0,RUNNING
2026-08-18 09:28:40,M4,Assembly,81.81,5.71,467,1,4,WARNING
2026-08-18 09:28:42,M6,Packaging,44.72,0.6,842,1,0,RUNNING
2026-08-18 09:28:45,M4,Assembly,60.48,0.8,699,1,0,RUNNING
2026-08-18 09:28:47,M5,Quality Inspection,47.51,0.44,506,1,0,RUNNING
2026-08-18 09:28:49,M3,Grinding & Honing,82.79,5.26,570,1,4,WARNING
2026-08-18 09:28:51,M6,Packaging,47.98,0.18,854,1,0,RUNNING
2026-08-18 09:28:53,M3,Grinding & Honing,56.61,1.75,942,1,0,RUNNING
2026-08-18 09:28:55,M4,Assembly,61.51,0.78,681,1,0,RUNNING
2026-08-18 09:28:58,M2,Heat Treatment,73.19,0.49,0,1,0,RUNNING
2026-08-18 09:29:00,M2,Heat Treatment,94.18,5.62,0,1,1,WARNING
2026-08-18 09:29:02,M3,Grinding & Honing,60.0,1.36,969,1,0,RUNNING
2026-08-18 09:29:04,M3,Grinding & Honing,78.38,6.79,689,1,4,WARNING
2026-08-18 09:29:06,M4,Assembly,63.02,0.81,708,1,0,RUNNING
2026-08-18 09:29:09,M3,Grinding & Honing,58.8,1.57,950,1,0,RUNNING
2026-08-18 09:29:11,M6,Packaging,46.96,0.35,854,1,0,RUNNING
2026-08-18 09:29:13,M5,Quality Inspection,47.22,0.36,493,1,0,RUNNING
2026-08-18 09:29:15,M3,Grinding & Honing,57.78,1.8,958,1,0,RUNNING
2026-08-18 09:29:17,M3,Grinding & Honing,58.12,1.77,951,1,0,RUNNING
2026-08-18 09:29:19,M1,Turning,43.66,0.66,1219,1,0,RUNNING
2026-08-18 09:29:22,M1,Turning,41.14,1.08,1200,1,0,RUNNING
2026-08-18 09:29:24,M3,Grinding & Honing,57.87,1.81,966,1,0,RUNNING
2026-08-18 09:29:26,M6,Packaging,44.41,0.3,856,1,0,RUNNING
2026-08-18 09:29:28,M3,Grinding & Honing,60.86,1.8,951,1,0,RUNNING
2026-08-18 09:29:30,M1,Turning,44.37,0.97,1206,1,0,RUNNING
2026-08-18 09:29:32,M2,Heat Treatment,72.57,0.59,0,1,0,RUNNING
2026-08-18 09:29:35,M1,Turning,43.22,0.83,1180,1,0,RUNNING
2026-08-18 09:29:37,M3,Grinding & Honing,59.82,1.39,956,1,0,RUNNING
2026-08-18 09:29:39,M5,Quality Inspection,64.36,3.98,299,1,4,WARNING
2026-08-18 09:29:41,M4,Assembly,61.19,0.56,695,1,0,RUNNING
2026-08-18 09:29:43,M5,Quality Inspection,68.05,3.87,187,1,3,WARNING
2026-08-18 09:29:46,M6,Packaging,46.7,0.2,854,1,0,RUNNING
2026-08-18 09:29:48,M3,Grinding & Honing,77.75,7.28,570,1,1,WARNING
2026-08-18 09:29:50,M3,Grinding & Honing,59.76,1.47,970,1,0,RUNNING
2026-08-18 09:29:52,M2,Heat Treatment,71.61,0.61,0,1,0,RUNNING
2026-08-18 09:29:54,M1,Turning,41.91,1.12,1189,1,0,RUNNING
2026-08-18 09:29:57,M4,Assembly,81.6,4.84,492,1,4,WARNING
2026-08-18 09:29:59,M6,Packaging,67.5,3.72,556,1,1,WARNING
2026-08-18 09:30:01,M2,Heat Treatment,73.58,0.41,0,1,0,RUNNING
2026-08-18 09:30:03,M3,Grinding & Honing,56.52,1.43,941,1,0,RUNNING
2026-08-18 09:30:05,M6,Packaging,46.69,0.46,848,1,0,RUNNING
2026-08-18 09:30:07,M6,Packaging,44.45,0.34,852,1,0,RUNNING
2026-08-18 09:30:10,M2,Heat Treatment,90.56,6.15,0,1,4,WARNING
2026-08-18 09:30:12,M3,Grinding & Honing,60.57,1.74,966,1,0,RUNNING
2026-08-18 09:30:14,M6,Packaging,46.53,0.61,842,1,0,RUNNING
2026-08-18 09:30:16,M5,Quality Inspection,43.72,0.42,499,1,0,RUNNING
2026-08-18 09:30:18,M2,Heat Treatment,70.17,0.71,0,1,0,RUNNING
2026-08-18 09:30:20,M1,Turning,41.29,1.11,1203,1,0,RUNNING
2026-08-18 09:30:22,M4,Assembly,61.03,0.78,712,1,0,RUNNING
2026-08-18 09:30:24,M2,Heat Treatment,73.31,0.53,0,1,0,RUNNING
2026-08-18 09:30:27,M5,Quality Inspection,46.92,0.17,514,1,0,RUNNING
2026-08-18 09:30:29,M2,Heat Treatment,71.78,0.47,0,1,0,RUNNING
2026-08-18 09:30:31,M1,Turning,41.56,1.0,1212,1,0,RUNNING
2026-08-18 09:30:33,M1,Turning,42.41,0.76,1216,1,0,RUNNING
2026-08-18 09:30:35,M6,Packaging,47.01,0.39,835,1,0,RUNNING
2026-08-18 09:30:37,M3,Grinding & Honing,76.84,7.34,743,1,3,WARNING
2026-08-18 09:30:39,M1,Turning,44.38,0.76,1188,1,0,RUNNING
2026-08-18 09:30:42,M3,Grinding & Honing,59.7,1.68,943,1,0,RUNNING
2026-08-18 09:30:44,M2,Heat Treatment,74.52,0.66,0,1,0,RUNNING
2026-08-18 09:30:46,M5,Quality Inspection,47.96,0.16,516,1,0,RUNNING
2026-08-18 09:30:48,M6,Packaging,47.86,0.38,866,1,0,RUNNING
2026-08-18 09:30:50,M3,Grinding & Honing,75.26,7.32,729,1,1,WARNING
2026-08-18 09:30:52,M5,Quality Inspection,47.73,0.62,502,1,0,RUNNING
2026-08-18 09:30:55,M1,Turning,44.73,0.97,1210,1,0,RUNNING
2026-08-18 09:30:57,M1,Turning,42.72,0.95,1188,1,0,RUNNING
2026-08-18 09:30:59,M6,Packaging,43.67,0.54,859,1,0,RUNNING
2026-08-18 09:31:01,M1,Turning,40.88,0.7,1181,1,0,RUNNING
2026-08-18 09:31:03,M2,Heat Treatment,72.62,0.4,0,1,0,RUNNING
2026-08-18 09:31:05,M6,Packaging,46.41,0.26,851,1,0,RUNNING
2026-08-18 09:31:08,M4,Assembly,61.87,0.69,681,1,0,RUNNING
2026-08-18 09:31:10,M5,Quality Inspection,44.56,0.31,499,1,0,RUNNING
2026-08-18 09:31:12,M3,Grinding & Honing,77.07,4.58,613,1,1,WARNING
2026-08-18 09:31:14,M5,Quality Inspection,46.78,0.41,516,1,0,RUNNING
2026-08-18 09:31:16,M5,Quality Inspection,44.11,0.33,515,1,0,RUNNING
2026-08-18 09:31:18,M4,Assembly,60.39,0.85,698,1,0,RUNNING
2026-08-18 09:31:21,M5,Quality Inspection,46.66,0.16,505,1,0,RUNNING
2026-08-18 09:31:23,M5,Quality Inspection,60.66,5.64,144,1,4,WARNING
2026-08-18 09:31:25,M5,Quality Inspection,44.77,0.56,516,1,0,RUNNING
2026-08-18 09:31:27,M4,Assembly,80.87,4.19,424,1,2,WARNING
2026-08-18 09:31:29,M2,Heat Treatment,91.27,5.59,0,1,3,WARNING
2026-08-18 09:31:31,M3,Grinding & Honing,60.87,1.7,965,1,0,RUNNING
2026-08-18 09:31:34,M5,Quality Inspection,45.39,0.43,491,1,0,RUNNING
2026-08-18 09:31:36,M6,Packaging,43.73,0.3,849,1,0,RUNNING
2026-08-18 09:31:38,M5,Quality Inspection,44.8,0.52,510,1,0,RUNNING
2026-08-18 09:31:40,M2,Heat Treatment,87.93,6.0,0,1,3,WARNING
2026-08-18 09:31:42,M3,Grinding & Honing,56.06,1.5,970,1,0,RUNNING
2026-08-18 09:31:44,M6,Packaging,47.53,0.22,832,1,0,RUNNING
2026-08-18 09:31:46,M4,Assembly,85.62,4.27,496,1,4,WARNING
2026-08-18 09:31:49,M4,Assembly,78.28,5.65,464,1,3,WARNING
2026-08-18 09:31:51,M3,Grinding & Honing,60.13,1.48,964,1,0,RUNNING
2026-08-18 09:31:53,M1,Turning,43.16,1.12,1190,1,0,RUNNING
2026-08-18 09:31:55,M4,Assembly,60.27,0.41,685,1,0,RUNNING
2026-08-18 09:31:57,M2,Heat Treatment,70.82,0.35,0,1,0,RUNNING
2026-08-18 09:31:59,M6,Packaging,43.69,0.21,865,1,0,RUNNING
2026-08-18 09:32:01,M4,Assembly,60.89,0.71,686,1,0,RUNNING
2026-08-18 09:32:04,M5,Quality Inspection,45.15,0.28,496,1,0,RUNNING
2026-08-18 09:32:06,M3,Grinding & Honing,60.98,1.43,930,1,0,RUNNING
2026-08-18 09:32:08,M6,Packaging,45.2,0.35,868,1,0,RUNNING
2026-08-18 09:32:10,M5,Quality Inspection,63.15,5.61,161,1,4,WARNING
2026-08-18 09:32:12,M6,Packaging,43.57,0.61,851,1,0,RUNNING
2026-08-18 09:32:14,M1,Turning,40.77,0.9,1208,1,0,RUNNING
2026-08-18 09:32:16,M2,Heat Treatment,70.51,0.68,0,1,0,RUNNING
2026-08-18 09:32:18,M1,Turning,40.52,0.99,1215,1,0,RUNNING
2026-08-18 09:32:20,M2,Heat Treatment,70.48,0.47,0,1,0,RUNNING
2026-08-18 09:32:23,M5,Quality Inspection,44.17,0.62,489,1,0,RUNNING
2026-08-18 09:32:25,M4,Assembly,62.65,0.44,684,1,0,RUNNING
2026-08-18 09:32:27,M1,Turning,41.82,0.74,1185,1,0,RUNNING
2026-08-18 09:32:29,M3,Grinding & Honing,59.46,1.59,957,1,0,RUNNING
2026-08-18 09:32:31,M2,Heat Treatment,70.6,0.7,0,1,0,RUNNING
2026-08-18 09:32:33,M3,Grinding & Honing,57.97,1.72,962,1,0,RUNNING
2026-08-18 09:32:35,M6,Packaging,45.5,0.5,849,1,0,RUNNING
2026-08-18 09:32:37,M3,Grinding & Honing,57.89,1.84,950,1,0,RUNNING
2026-08-18 09:32:40,M4,Assembly,64.42,0.51,703,1,0,RUNNING
2026-08-18 09:32:42,M3,Grinding & Honing,77.67,7.1,663,1,2,WARNING
2026-08-18 09:32:44,M4,Assembly,61.75,0.66,684,1,0,RUNNING
2026-08-18 09:32:46,M3,Grinding & Honing,57.84,1.48,933,1,0,RUNNING
2026-08-18 09:32:48,M3,Grinding & Honing,60.52,1.8,939,1,0,RUNNING
2026-08-18 09:32:50,M6,Packaging,47.6,0.62,832,1,0,RUNNING
2026-08-18 09:32:52,M4,Assembly,60.72,0.81,699,1,0,RUNNING
2026-08-18 09:32:54,M2,Heat Treatment,74.47,0.28,0,1,0,RUNNING
2026-08-18 09:32:56,M2,Heat Treatment,73.47,0.36,0,1,0,RUNNING
2026-08-18 09:32:59,M5,Quality Inspection,43.9,0.56,518,1,0,RUNNING
2026-08-18 09:33:01,M1,Turning,42.19,0.71,1184,1,0,RUNNING
2026-08-18 09:33:03,M6,Packaging,46.74,0.43,837,1,0,RUNNING
2026-08-18 09:33:05,M3,Grinding & Honing,76.96,7.25,712,1,4,WARNING
2026-08-18 09:33:07,M1,Turning,40.05,0.92,1191,1,0,RUNNING
2026-08-18 09:33:09,M1,Turning,43.83,1.08,1217,1,0,RUNNING
2026-08-18 09:33:11,M6,Packaging,47.98,0.24,837,1,0,RUNNING
2026-08-18 09:33:13,M6,Packaging,47.57,0.61,832,1,0,RUNNING
2026-08-18 09:33:15,M6,Packaging,45.61,0.51,835,1,0,RUNNING
2026-08-18 09:33:18,M4,Assembly,64.64,0.8,695,1,0,RUNNING
2026-08-18 09:33:20,M4,Assembly,64.02,0.59,720,1,0,RUNNING
2026-08-18 09:33:22,M2,Heat Treatment,74.14,0.37,0,1,0,RUNNING
2026-08-18 09:33:24,M2,Heat Treatment,70.69,0.55,0,1,0,RUNNING
2026-08-18 09:33:26,M5,Quality Inspection,43.63,0.24,508,1,0,RUNNING
2026-08-18 09:33:28,M6,Packaging,46.14,0.41,843,1,0,RUNNING
2026-08-18 09:33:30,M4,Assembly,64.47,0.44,690,1,0,RUNNING
2026-08-18 09:33:32,M6,Packaging,44.17,0.58,854,1,0,RUNNING
2026-08-18 09:33:35,M3,Grinding & Honing,57.92,1.57,950,1,0,RUNNING
2026-08-18 09:33:37,M1,Turning,44.23,1.01,1210,1,0,RUNNING
2026-08-18 09:33:39,M2,Heat Treatment,74.25,0.65,0,1,0,RUNNING
2026-08-18 09:33:41,M6,Packaging,67.16,3.84,543,1,1,WARNING
2026-08-18 09:33:43,M5,Quality Inspection,69.44,4.38,166,1,4,WARNING
2026-08-18 09:33:45,M2,Heat Treatment,73.64,0.56,0,1,0,RUNNING
2026-08-18 09:33:47,M3,Grinding & Honing,60.11,1.51,969,1,0,RUNNING
2026-08-18 09:33:49,M6,Packaging,46.77,0.64,865,1,0,RUNNING
2026-08-18 09:33:51,M1,Turning,41.22,0.99,1203,1,0,RUNNING
2026-08-18 09:33:54,M1,Turning,40.41,0.91,1202,1,0,RUNNING
2026-08-18 09:33:56,M1,Turning,44.55,0.67,1190,1,0,RUNNING
2026-08-18 09:33:58,M3,Grinding & Honing,57.04,1.63,951,1,0,RUNNING
2026-08-18 09:34:00,M2,Heat Treatment,71.71,0.41,0,1,0,RUNNING
2026-08-18 09:34:02,M2,Heat Treatment,71.68,0.43,0,1,0,RUNNING
2026-08-18 09:34:04,M5,Quality Inspection,45.71,0.33,510,1,0,RUNNING
2026-08-18 09:34:06,M1,Turning,42.54,0.96,1206,1,0,RUNNING
2026-08-18 09:34:08,M5,Quality Inspection,46.01,0.58,520,1,0,RUNNING
2026-08-18 09:34:11,M3,Grinding & Honing,59.13,1.74,941,1,0,RUNNING
2026-08-18 09:34:13,M4,Assembly,64.18,0.54,707,1,0,RUNNING
2026-08-18 09:34:15,M4,Assembly,61.31,0.42,686,1,0,RUNNING
2026-08-18 09:34:17,M6,Packaging,47.18,0.49,855,1,0,RUNNING
2026-08-18 09:34:19,M4,Assembly,84.84,5.17,493,1,3,WARNING
2026-08-18 09:34:21,M5,Quality Inspection,65.98,3.84,101,1,4,WARNING
2026-08-18 09:34:23,M3,Grinding & Honing,56.29,1.74,939,1,0,RUNNING
2026-08-18 09:34:26,M6,Packaging,47.98,0.16,842,1,0,RUNNING
2026-08-18 09:34:28,M3,Grinding & Honing,58.17,1.49,930,1,0,RUNNING
2026-08-18 09:34:30,M4,Assembly,83.12,4.09,420,1,1,WARNING
2026-08-18 09:34:32,M5,Quality Inspection,45.8,0.44,515,1,0,RUNNING
2026-08-18 09:34:34,M1,Turning,42.24,1.06,1201,1,0,RUNNING
2026-08-18 09:34:37,M2,Heat Treatment,70.61,0.45,0,1,0,RUNNING
2026-08-18 09:34:39,M6,Packaging,69.93,6.07,608,1,2,WARNING
2026-08-18 09:34:41,M6,Packaging,47.0,0.58,843,1,0,RUNNING
2026-08-18 09:34:43,M2,Heat Treatment,72.16,0.66,0,1,0,RUNNING
2026-08-18 09:34:45,M4,Assembly,64.36,0.51,691,1,0,RUNNING
2026-08-18 09:34:47,M2,Heat Treatment,73.3,0.6,0,1,0,RUNNING
2026-08-18 09:34:49,M1,Turning,44.56,0.83,1187,1,0,RUNNING
2026-08-18 09:34:51,M1,Turning,40.04,0.96,1194,1,0,RUNNING
2026-08-18 09:34:53,M6,Packaging,47.58,0.17,837,1,0,RUNNING
2026-08-18 09:34:56,M1,Turning,43.99,0.79,1213,1,0,RUNNING
2026-08-18 09:34:58,M4,Assembly,61.1,0.47,686,1,0,RUNNING
2026-08-18 09:35:00,M6,Packaging,45.65,0.31,833,1,0,RUNNING
2026-08-18 09:35:02,M1,Turning,58.82,5.92,926,1,3,WARNING
2026-08-18 09:35:04,M2,Heat Treatment,73.33,0.6,0,1,0,RUNNING
2026-08-18 09:35:06,M3,Grinding & Honing,56.34,1.63,945,1,0,RUNNING
2026-08-18 09:35:09,M3,Grinding & Honing,56.44,1.83,967,1,0,RUNNING
2026-08-18 09:35:11,M1,Turning,44.58,1.14,1209,1,0,RUNNING
2026-08-18 09:35:13,M1,Turning,62.84,4.25,896,1,1,WARNING
2026-08-18 09:35:15,M3,Grinding & Honing,58.02,1.54,969,1,0,RUNNING
2026-08-18 09:35:17,M4,Assembly,61.37,0.75,692,1,0,RUNNING
2026-08-18 09:35:19,M5,Quality Inspection,47.24,0.5,492,1,0,RUNNING
2026-08-18 09:35:21,M2,Heat Treatment,70.45,0.55,0,1,0,RUNNING
2026-08-18 09:35:23,M5,Quality Inspection,45.84,0.53,492,1,0,RUNNING
2026-08-18 09:35:25,M6,Packaging,44.32,0.16,848,1,0,RUNNING
2026-08-18 09:35:28,M6,Packaging,46.44,0.56,854,1,0,RUNNING
2026-08-18 09:35:30,M2,Heat Treatment,74.73,0.31,0,1,0,RUNNING
2026-08-18 09:35:32,M2,Heat Treatment,71.39,0.35,0,1,0,RUNNING
2026-08-18 09:35:34,M5,Quality Inspection,45.13,0.62,481,1,0,RUNNING
2026-08-18 09:35:36,M4,Assembly,63.71,0.78,703,1,0,RUNNING
2026-08-18 09:35:38,M3,Grinding & Honing,60.21,1.52,965,1,0,RUNNING
2026-08-18 09:35:40,M2,Heat Treatment,93.65,5.87,0,1,4,WARNING
2026-08-18 09:35:42,M2,Heat Treatment,71.7,0.3,0,1,0,RUNNING
2026-08-18 09:35:45,M5,Quality Inspection,47.83,0.25,503,1,0,RUNNING
2026-08-18 09:35:47,M1,Turning,44.03,1.04,1207,1,0,RUNNING
2026-08-18 09:35:49,M5,Quality Inspection,46.23,0.63,502,1,0,RUNNING
2026-08-18 09:35:51,M4,Assembly,61.74,0.74,685,1,0,RUNNING
2026-08-18 09:35:53,M6,Packaging,68.78,5.42,522,1,4,WARNING
2026-08-18 09:35:55,M3,Grinding & Honing,56.54,1.5,941,1,0,RUNNING
